data_set_name,data_set_id,n_splits,split_idx,dimensionality,feature_avg_correlation,feature_avg_kurtosis,feature_avg_mutual_information,feature_avg_skew,feature_noise,imbalance_ratio_in_hull,imbalance_ratio_out_hull,imbalance_ratio_train,imbalance_ratio_val,in_hull_ratio,intrinsic_dimensionality,intrinsic_dimensionality_over_n_samples,intrinsic_dimensionality_ratio,levene_pvalue,levene_stat,levene_success,model_name,n_classes,n_features,n_features_over_n_samples,n_samples,out_hull_ratio,random_state,sample_avg_distance,sample_std_distance,train_accuracy,train_f1,val_accuracy,val_accuracy_in_hull,val_accuracy_out_hull,val_f1,val_f1_in_hull,val_f1_out_hull
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,4,36,0.311780325419272,829.478698730469,0.060735618563052,12.9333953857422,0.277777777777778,1.0,1.08496732026144,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.671691115146779,374.90295828168,0.75,RandomForestHT,2,36,88.7777777777778,3196,0.996875,42,8.94325572823446,2.6767929386118,0.942280945757997,0.942176118970404,0.959375,1.0,0.959247648902821,0.959316428662502,1.0,0.959191361680382
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,4,36,0.311780325419272,829.478698730469,0.060735618563052,12.9333953857422,0.277777777777778,1.0,1.08496732026144,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.671691115146779,374.90295828168,0.75,LogisticRegressionHT,2,36,88.7777777777778,3196,0.996875,42,8.94325572823446,2.6767929386118,0.980180806675939,0.980182839786696,0.971875,1.0,0.971786833855799,0.971878576459195,1.0,0.971790165562047
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,4,36,0.311780325419272,829.478698730469,0.060735618563052,12.9333953857422,0.277777777777778,1.0,1.08496732026144,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.671691115146779,374.90295828168,0.75,MLPClassifierHT,2,36,88.7777777777778,3196,0.996875,42,8.94325572823446,2.6767929386118,0.996522948539638,0.996523054676997,0.9875,1.0,0.987460815047022,0.9875,1.0,0.987460815047022
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,9,36,0.311701904860302,821.480102539062,0.061078155566409,13.0345401763916,0.277777777777778,1.0,1.0718954248366,1.0938864628821,1.08496732026144,0.006269592476489,26,0.008135168961202,0.722222222222222,0.639893224872312,894.183642716018,0.777777777777778,RandomForestHT,2,36,88.7777777777778,3196,0.993730407523511,42,8.94504921017818,2.68164742840712,0.958289885297185,0.958257798415496,0.943573667711599,1.0,0.943217665615142,0.943535854417334,1.0,0.943183685920904
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,9,36,0.311701904860302,821.480102539062,0.061078155566409,13.0345401763916,0.277777777777778,1.0,1.0718954248366,1.0938864628821,1.08496732026144,0.006269592476489,26,0.008135168961202,0.722222222222222,0.639893224872312,894.183642716018,0.777777777777778,LogisticRegressionHT,2,36,88.7777777777778,3196,0.993730407523511,42,8.94504921017818,2.68164742840712,0.978449774070212,0.978452298808366,0.949843260188088,1.0,0.949526813880126,0.949843260188088,1.0,0.949526813880126
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,9,36,0.311701904860302,821.480102539062,0.061078155566409,13.0345401763916,0.277777777777778,1.0,1.0718954248366,1.0938864628821,1.08496732026144,0.006269592476489,26,0.008135168961202,0.722222222222222,0.639893224872312,894.183642716018,0.777777777777778,MLPClassifierHT,2,36,88.7777777777778,3196,0.993730407523511,42,8.94504921017818,2.68164742840712,0.995828988529718,0.995828988529718,0.96551724137931,1.0,0.965299684542587,0.965512488180662,1.0,0.96529553482127
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,5,36,0.312106725398868,821.226806640625,0.066261542626448,12.9557189941406,0.277777777777778,1.0,1.09868421052632,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.520134015797651,379.897418667861,0.666666666666667,RandomForestHT,2,36,88.7777777777778,3196,0.996875,42,8.94899500365992,2.69228289932976,0.963490959666203,0.963475587811418,0.96875,1.0,0.968652037617555,0.96874020989975,1.0,0.968641533924703
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,5,36,0.312106725398868,821.226806640625,0.066261542626448,12.9557189941406,0.277777777777778,1.0,1.09868421052632,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.520134015797651,379.897418667861,0.666666666666667,LogisticRegressionHT,2,36,88.7777777777778,3196,0.996875,42,8.94899500365992,2.69228289932976,0.976356050069541,0.976361180329882,0.965625,1.0,0.96551724137931,0.965640118159872,1.0,0.965534201058352
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,5,36,0.312106725398868,821.226806640625,0.066261542626448,12.9557189941406,0.277777777777778,1.0,1.09868421052632,1.09315866084425,1.09150326797386,0.003125,26,0.008135168961202,0.722222222222222,0.520134015797651,379.897418667861,0.666666666666667,MLPClassifierHT,2,36,88.7777777777778,3196,0.996875,42,8.94899500365992,2.69228289932976,0.995827538247566,0.995827788918718,0.9875,1.0,0.987460815047022,0.987504887585533,1.0,0.987466243265616
kr-vs-kp,3,results/kr-vs-kp/10-fold-cv,0,36,0.311521080074352,832.176696777344,0.066152698128428,12.8940801620483,0.277777777777778,-1.0,1.09150326797386,1.09315866084425,1.09150326797386,0.0,26,0.008135168961202,0.722222222222222,0.561749579026005,378.121711660278,0.694444444444444,RandomForestHT,2,36,88.7777777777778,3196,1.0,42,8.93481869343918,2.65380282088906,1.0,1.0,0.984375,,0.984375,0.984376986921775,,0.984376986921775
